	Exigl1_AssemblyScaffolds.fasta
GF00000200	scaffold_524, scaffold_879, scaffold_1446
GF00000201	scaffold_574, scaffold_575, scaffold_1633
GF00000202	scaffold_812, scaffold_1642, scaffold_1641
GF00000203	scaffold_641, scaffold_693, scaffold_1713
GF00000204	scaffold_771, scaffold_931, scaffold_1328
GF00000205	scaffold_802, scaffold_1610, scaffold_1362
GF00000206	scaffold_1358, scaffold_991, scaffold_992
GF00000207	scaffold_936, scaffold_1039, scaffold_1314
GF00000208	scaffold_1205, scaffold_1690, scaffold_1723
GF00000209	scaffold_1231, scaffold_1355, scaffold_1414
GF00000210	scaffold_1587, scaffold_1625, scaffold_1659
GF00000211	scaffold_1172, scaffold_738, scaffold_1526
GF00000212	scaffold_980, scaffold_1307, scaffold_1475
GF00000213	scaffold_1703, scaffold_1681, scaffold_1724
GF00000214	scaffold_3, scaffold_957
GF00000215	scaffold_40, scaffold_380
GF00000216	scaffold_5, scaffold_1222
GF00000217	scaffold_35, scaffold_286
GF00000218	scaffold_87, scaffold_680
GF00000219	scaffold_326, scaffold_1025
GF00000220	scaffold_79, scaffold_741
GF00000221	scaffold_168, scaffold_779
GF00000222	scaffold_118, scaffold_1062
GF00000223	scaffold_157, scaffold_933
GF00000224	scaffold_203, scaffold_719
GF00000225	scaffold_122, scaffold_915
GF00000226	scaffold_226, scaffold_254
GF00000227	scaffold_237, scaffold_742
GF00000228	scaffold_180, scaffold_1101
GF00000229	scaffold_223, scaffold_681
GF00000230	scaffold_50, scaffold_1118
GF00000231	scaffold_285, scaffold_1479
GF00000232	scaffold_391, scaffold_1318
GF00000233	scaffold_215, scaffold_774
GF00000234	scaffold_463, scaffold_559
GF00000235	scaffold_172, scaffold_867
GF00000236	scaffold_404, scaffold_826
GF00000237	scaffold_292, scaffold_227
GF00000238	scaffold_257, scaffold_657
GF00000239	scaffold_453, scaffold_623
GF00000240	scaffold_102, scaffold_993
GF00000241	scaffold_589, scaffold_1042
GF00000242	scaffold_509, scaffold_834
GF00000243	scaffold_546, scaffold_1646
GF00000244	scaffold_785, scaffold_479
GF00000245	scaffold_376, scaffold_578
GF00000246	scaffold_577, scaffold_752
GF00000247	scaffold_622, scaffold_1103
GF00000248	scaffold_270, scaffold_916
GF00000249	scaffold_679, scaffold_716
GF00000250	scaffold_438, scaffold_869
GF00000251	scaffold_870, scaffold_440
GF00000252	scaffold_353, scaffold_573
GF00000253	scaffold_874, scaffold_775
GF00000254	scaffold_753, scaffold_1427
GF00000255	scaffold_696, scaffold_1006
GF00000256	scaffold_908, scaffold_903
GF00000257	scaffold_830, scaffold_1310
GF00000258	scaffold_448, scaffold_974
GF00000259	scaffold_594, scaffold_964
GF00000260	scaffold_1443, scaffold_1673
GF00000261	scaffold_1052, scaffold_1141
GF00000262	scaffold_1137, scaffold_1257
GF00000263	scaffold_1161, scaffold_1677
GF00000264	scaffold_1031, scaffold_1493
GF00000265	scaffold_947, scaffold_1017
GF00000266	scaffold_1078, scaffold_1192
GF00000267	scaffold_1094, scaffold_1122
GF00000268	scaffold_927, scaffold_759
GF00000269	scaffold_702, scaffold_344
GF00000270	scaffold_1277, scaffold_1381
GF00000271	scaffold_843, scaffold_1601
GF00000272	scaffold_1246, scaffold_1364
GF00000273	scaffold_1258, scaffold_1333
GF00000274	scaffold_1020, scaffold_1059
GF00000275	scaffold_1060, scaffold_1143
GF00000276	scaffold_1121, scaffold_1389
GF00000277	scaffold_1309, scaffold_1456
GF00000278	scaffold_1084, scaffold_1102
GF00000279	scaffold_946, scaffold_989
GF00000280	scaffold_1376, scaffold_1555
GF00000281	scaffold_1289, scaffold_1283
GF00000282	scaffold_1195, scaffold_1367
GF00000283	scaffold_1164, scaffold_1296
GF00000284	scaffold_1422, scaffold_1538
GF00000285	scaffold_1116, scaffold_1251
GF00000286	scaffold_1349, scaffold_1430
GF00000287	scaffold_1202, scaffold_1300
GF00000288	scaffold_1461, scaffold_1546
GF00000289	scaffold_1359, scaffold_1437
GF00000290	scaffold_1428, scaffold_1363
GF00000291	scaffold_1676, scaffold_1242
GF00000292	scaffold_1411, scaffold_1466
GF00000293	scaffold_1281, scaffold_1369
